algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcs,S,3,100,1,100,100,100,1,3,20513.96,529.0093746
lstcs,S,3,100,1,100,100,100,1,4,20395.3,75.30292159
lstcs,S,3,100,1,100,100,100,1,4,20303.02,72.61583574
lstcs,S,3,100,1,100,100,100,1,4,20326.98,83.03938584
lstcs,S,3,100,1,100,100,100,1,6,20328.46,72.79291449
lstcs,S,3,100,1,450,450,450,1,15,808435.16,9916.164043
lstcs,S,3,100,1,450,450,450,1,18,714370.62,68638.26909
lstcs,S,3,100,1,450,450,450,1,27,801771.42,2393.571073
lstcs,S,3,100,1,450,450,450,1,19,804657.34,13235.00104
lstcs,S,3,100,1,450,450,450,1,16,805641.68,2183.66289
lstcs,S,3,100,1,256,256,256,1,7,223002.68,1578.366845
lstcs,S,3,100,1,256,256,256,1,9,223457.18,1004.235086
lstcs,S,3,100,1,256,256,256,1,8,220501.5,774.2037006
lstcs,S,3,100,1,256,256,256,1,8,219021.1,406.3948449
lstcs,S,3,100,1,256,256,256,1,9,218743.68,452.7706015
lstcs,S,3,100,1,400,400,400,1,13,624785.58,1174.962809
lstcs,S,3,100,1,400,400,400,1,15,624583.62,1792.076716
lstcs,S,3,100,1,400,400,400,1,15,624763.06,1065.446956
lstcs,S,3,100,1,400,400,400,1,15,580999.48,45928.0924
lstcs,S,3,100,1,400,400,400,1,15,626081.14,1894.027476
lstcs,S,3,100,1,224,224,224,1,6,125733.2,387.047594
lstcs,S,3,100,1,224,224,224,1,8,125270.94,397.5807546
lstcs,S,3,100,1,224,224,224,1,7,126175.62,345.7393174
lstcs,S,3,100,1,224,224,224,1,7,125417.68,366.4209295
lstcs,S,3,100,1,224,224,224,1,7,125622.66,189.6380352
lstcs,S,3,100,1,550,550,550,1,18,2349148.34,380232.0804
lstcs,S,3,100,1,550,550,550,1,20,2248936.28,377004.7658
lstcs,S,3,100,1,550,550,550,1,19,2590702.8,18908.04212
lstcs,S,3,100,1,550,550,550,1,20,2118008.64,370340.0516
lstcs,S,3,100,1,550,550,550,1,20,2585926.48,14337.72164
lstcs,D,3,100,1,64,64,64,1,4,9710.92,387.682078
lstcs,D,3,100,1,64,64,64,1,3,9676.2,23.48361131
lstcs,D,3,100,1,64,64,64,1,8,9707.2,33.94289322
lstcs,D,3,100,1,64,64,64,1,4,9693.94,33.39725138
lstcs,D,3,100,1,64,64,64,1,4,9721.42,32.37411929
lstcs,D,3,100,1,500,500,500,1,19,3531092.76,694883.8819
lstcs,D,3,100,1,500,500,500,1,23,3791429.28,443014.1714
lstcs,D,3,100,1,500,500,500,1,21,3854253.76,782077.8717
lstcs,D,3,100,1,500,500,500,1,21,4555998.64,36513.02944
lstcs,D,3,100,1,500,500,500,1,24,3784967.46,945155.5563
lstcs,D,3,100,1,1000,1000,1000,1,81,40153044.38,4614506.723
lstcs,D,3,100,1,1000,1000,1000,1,45,40506300.64,8032202.727
lstcs,D,3,100,1,1000,1000,1000,1,43,53157743.42,157921.7793
lstcs,D,3,100,1,1000,1000,1000,1,46,35700481.8,5858052.661
lstcs,D,3,100,1,1000,1000,1000,1,43,40445387.94,9005707.886
lstcs,D,3,100,1,50,50,50,1,1,8336.32,386.2803873
lstcs,D,3,100,1,50,50,50,1,4,8285.5,31.4784053
lstcs,D,3,100,1,50,50,50,1,3,8275.86,25.44091979
lstcs,D,3,100,1,50,50,50,1,2,8283.4,23.3049351
lstcs,D,3,100,1,50,50,50,1,4,8288.74,31.80805558
lstcs,D,3,100,1,288,288,288,1,11,386321.94,2632.93723
lstcs,D,3,100,1,288,288,288,1,14,384507.06,408.472002
lstcs,D,3,100,1,288,288,288,1,13,383942.04,755.2775373
lstcs,D,3,100,1,288,288,288,1,14,384481.76,402.392324
lstcs,D,3,100,1,288,288,288,1,14,383833.54,354.5440007
lstcs,D,3,100,1,192,192,192,1,7,153231.1,370.9896629
lstcs,D,3,100,1,192,192,192,1,10,153093.74,192.5018244
lstcs,D,3,100,1,192,192,192,1,9,152891.2,192.8663786
lstcs,D,3,100,1,192,192,192,1,9,152923.22,630.5331487
lstcs,D,3,100,1,192,192,192,1,10,152965.98,240.8061037
lstcs,D,3,100,1,160,160,160,1,6,76344.82,361.8381235
lstcs,D,3,100,1,160,160,160,1,8,77050.04,848.3679853
lstcs,D,3,100,1,160,160,160,1,9,75696.64,578.4926883
lstcs,D,3,100,1,160,160,160,1,9,75480.72,121.451396
lstcs,D,3,100,1,160,160,160,1,7,75724.66,261.9785953
lstcs,D,3,100,1,350,350,350,1,15,689030.6,2645.135339
lstcs,D,3,100,1,350,350,350,1,19,627246.8,78618.85889
lstcs,D,3,100,1,350,350,350,1,19,668166.38,2102.729977
lstcs,D,3,100,1,350,350,350,1,18,672009.68,4359.30369
lstcs,D,3,100,1,350,350,350,1,19,669011.26,866.4934578
lstcs,D,3,100,1,96,96,96,1,3,27096.14,313.3968736
lstcs,D,3,100,1,96,96,96,1,5,27004.24,85.14847268
lstcs,D,3,100,1,96,96,96,1,4,27015.46,83.89522275
lstcs,D,3,100,1,96,96,96,1,4,26952.6,80.71257647
lstcs,D,3,100,1,96,96,96,1,5,26980.2,85.79510476
lstcs,D,3,100,1,128,128,128,1,4,52333.32,460.7971979
lstcs,D,3,100,1,128,128,128,1,7,52205.7,208.7605566
lstcs,D,3,100,1,128,128,128,1,6,52132.96,220.9180807
lstcs,D,3,100,1,128,128,128,1,6,51961.36,195.3778657
lstcs,D,3,100,1,128,128,128,1,5,51906.64,228.0819818
lstcs,D,3,100,1,150,150,150,1,6,66816.46,477.6742074
lstcs,D,3,100,1,150,150,150,1,10,67011.98,1179.784412
lstcs,D,3,100,1,150,150,150,1,7,65633.36,204.0659462
lstcs,D,3,100,1,150,150,150,1,6,65547.64,117.2966768
lstcs,D,3,100,1,150,150,150,1,7,65640.68,181.2592
lstcs,D,3,100,1,250,250,250,1,9,287170.98,282.8504545
lstcs,D,3,100,1,250,250,250,1,11,288002.96,400.8650127
lstcs,D,3,100,1,250,250,250,1,11,287868.98,1587.75694
lstcs,D,3,100,1,250,250,250,1,11,288593.7,253.5278486
lstcs,D,3,100,1,250,250,250,1,11,286796.28,266.4945058
lstcs,D,3,100,1,300,300,300,1,13,433420.74,415.314763
lstcs,D,3,100,1,300,300,300,1,14,432879.58,556.0550005
lstcs,D,3,100,1,300,300,300,1,14,433427.32,513.7738195
lstcs,D,3,100,1,300,300,300,1,14,432408.22,425.296522
lstcs,D,3,100,1,300,300,300,1,15,433477.3,1309.464184
lstcs,D,3,100,1,600,600,600,1,34,6544933.74,1067100.439
lstcs,D,3,100,1,600,600,600,1,25,6278571.58,1147906.632
lstcs,D,3,100,1,600,600,600,1,25,7692589,1454436.879
lstcs,D,3,100,1,600,600,600,1,28,9698477.8,200187.5364
lstcs,D,3,100,1,600,600,600,1,26,9773228.86,133364.5064
lstcs,D,3,100,1,800,800,800,1,118,19362705.46,2609568.262
lstcs,D,3,100,1,800,800,800,1,38,18952474.9,3342910.752
lstcs,D,3,100,1,800,800,800,1,33,26006837.58,127184.8147
lstcs,D,3,100,1,800,800,800,1,32,21483142.12,5080857.833
lstcs,D,3,100,1,800,800,800,1,34,25972559,103298.5869
lstcs,D,3,100,1,200,200,200,1,7,153444.58,1551.599937
lstcs,D,3,100,1,200,200,200,1,9,154219.76,1342.645621
lstcs,D,3,100,1,200,200,200,1,11,153306.28,1362.232888
lstcs,D,3,100,1,200,200,200,1,10,152275.2,607.6909741
lstcs,D,3,100,1,200,200,200,1,11,152828.22,258.2608209
lstcs,D,3,100,1,100,100,100,1,3,33914.34,551.7778397
lstcs,D,3,100,1,100,100,100,1,4,33552.94,123.7661359
lstcs,D,3,100,1,100,100,100,1,5,33522.86,133.5001139
lstcs,D,3,100,1,100,100,100,1,5,33399.98,109.825223
lstcs,D,3,100,1,100,100,100,1,5,33411.62,116.6560569
lstcs,D,3,100,1,450,450,450,1,18,2695657.56,381834.5659
lstcs,D,3,100,1,450,450,450,1,28,2595545.42,210499.5541
lstcs,D,3,100,1,450,450,450,1,20,2679243.94,224397.6491
lstcs,D,3,100,1,450,450,450,1,20,2916574.04,7918.43118
lstcs,D,3,100,1,450,450,450,1,19,2914004.6,16833.39389
lstcs,D,3,100,1,256,256,256,1,9,326255.58,439.9639117
lstcs,D,3,100,1,256,256,256,1,12,326390,350.6857853
lstcs,D,3,100,1,256,256,256,1,12,326708.36,690.633036
lstcs,D,3,100,1,256,256,256,1,12,326565.22,553.310267
lstcs,D,3,100,1,256,256,256,1,12,326454.32,1597.818606
lstcs,D,3,100,1,400,400,400,1,17,1545833.62,7759.436835
lstcs,D,3,100,1,400,400,400,1,17,1259804.34,255942.7575
lstcs,D,3,100,1,400,400,400,1,18,1537138.82,11180.97956
lstcs,D,3,100,1,400,400,400,1,19,1278727.7,250131.4826
lstcs,D,3,100,1,400,400,400,1,18,1537123.14,2363.041142
lstcs,D,3,100,1,224,224,224,1,8,177986.82,304.2667704
lstcs,D,3,100,1,224,224,224,1,11,178105.74,316.9918491
lstcs,D,3,100,1,224,224,224,1,11,177394.5,343.354467
lstcs,D,3,100,1,224,224,224,1,19,178469.18,798.1878398
lstcs,D,3,100,1,224,224,224,1,12,177183.06,402.9434903
lstcs,D,3,100,1,550,550,550,1,20,4626023.64,1208809.554
lstcs,D,3,100,1,550,550,550,1,25,4752241.24,1508981.816
lstcs,D,3,100,1,550,550,550,1,25,5031335.38,959513.808
lstcs,D,3,100,1,550,550,550,1,25,6234551.92,937510.1717
lstcs,D,3,100,1,550,550,550,1,24,7022264.12,62838.25159
