algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcss,S,3,100,1,100,100,100,1,3,37911.9,293.4332803
lstcss,S,3,100,1,100,100,100,1,4,37888.02,122.2498245
lstcss,S,3,100,1,100,100,100,1,3,37863.96,95.15397207
lstcss,S,3,100,1,100,100,100,1,3,37896.86,101.0223757
lstcss,S,3,100,1,100,100,100,1,4,37916.34,163.2771399
lstcss,S,3,100,1,450,450,450,1,14,1696392.42,11551.38162
lstcss,S,3,100,1,450,450,450,1,17,1693925.66,2372.172613
lstcss,S,3,100,1,450,450,450,1,16,1698620.64,3773.127073
lstcss,S,3,100,1,450,450,450,1,18,1704458.94,6908.9806
lstcss,S,3,100,1,450,450,450,1,17,1676350.22,2935.902548
lstcss,S,3,100,1,256,256,256,1,6,705182.22,1393.596273
lstcss,S,3,100,1,256,256,256,1,8,708463.54,845.7323503
lstcss,S,3,100,1,256,256,256,1,8,706039.04,5928.169616
lstcss,S,3,100,1,256,256,256,1,8,727885.6,8688.59329
lstcss,S,3,100,1,256,256,256,1,8,766409.74,1183.962479
lstcss,S,3,100,1,400,400,400,1,13,1125895.96,3232.781768
lstcss,S,3,100,1,400,400,400,1,15,1123417.26,2944.524619
lstcss,S,3,100,1,400,400,400,1,16,1123455.8,2051.648196
lstcss,S,3,100,1,400,400,400,1,16,1131257.7,25786.50807
lstcss,S,3,100,1,400,400,400,1,15,1123316.26,2625.082717
lstcss,S,3,100,1,224,224,224,1,6,221016.66,373.8409614
lstcss,S,3,100,1,224,224,224,1,7,222649.5,14614.13108
lstcss,S,3,100,1,224,224,224,1,7,219740.64,1000.532373
lstcss,S,3,100,1,224,224,224,1,7,216929.72,438.831997
lstcss,S,3,100,1,224,224,224,1,7,215833.1,385.8532493
lstcss,S,3,100,1,550,550,550,1,16,3418660.14,97789.77873
lstcss,S,3,100,1,550,550,550,1,20,3411636.26,72139.2961
lstcss,S,3,100,1,550,550,550,1,20,3393970.52,80570.47279
lstcss,S,3,100,1,550,550,550,1,20,3529624.58,3302.263473
lstcss,S,3,100,1,550,550,550,1,20,3347203.7,22586.63232
lstcss,D,3,100,1,64,64,64,1,4,18376.28,251.7567111
lstcss,D,3,100,1,64,64,64,1,6,18322.6,71.61592002
lstcss,D,3,100,1,64,64,64,1,6,18321.06,60.90038095
lstcss,D,3,100,1,64,64,64,1,4,18314.62,67.62984253
lstcss,D,3,100,1,64,64,64,1,6,18379.34,51.40335009
lstcss,D,3,100,1,500,500,500,1,20,3939830.2,415995.31
lstcss,D,3,100,1,500,500,500,1,21,4203063.72,115735.4318
lstcss,D,3,100,1,500,500,500,1,23,3431734.98,178754.5469
lstcss,D,3,100,1,500,500,500,1,22,3512077.68,591912.63
lstcss,D,3,100,1,500,500,500,1,21,4383406.08,27350.23133
lstcss,D,3,100,1,1000,1000,1000,1,57,28447203.56,2295189.125
lstcss,D,3,100,1,1000,1000,1000,1,42,29518743.42,6419651.279
lstcss,D,3,100,1,1000,1000,1000,1,46,30892494.52,6744049.193
lstcss,D,3,100,1,1000,1000,1000,1,39,37042768.76,4849890.289
lstcss,D,3,100,1,1000,1000,1000,1,41,39432724.24,498864.0863
lstcss,D,3,100,1,50,50,50,1,1,8762.94,222.5858405
lstcss,D,3,100,1,50,50,50,1,6,8788.08,86.85017904
lstcss,D,3,100,1,50,50,50,1,2,8758.04,97.12897817
lstcss,D,3,100,1,50,50,50,1,2,8768.82,85.9622452
lstcss,D,3,100,1,50,50,50,1,2,8777.72,59.23648875
lstcss,D,3,100,1,288,288,288,1,11,538897.94,2567.547487
lstcss,D,3,100,1,288,288,288,1,13,539769.32,1161.269813
lstcss,D,3,100,1,288,288,288,1,14,538536.34,525.1912265
lstcss,D,3,100,1,288,288,288,1,13,539389.36,1078.127372
lstcss,D,3,100,1,288,288,288,1,13,531481.28,2123.260267
lstcss,D,3,100,1,192,192,192,1,7,235333.6,4837.67846
lstcss,D,3,100,1,192,192,192,1,11,234609.54,403.1162716
lstcss,D,3,100,1,192,192,192,1,10,235006.04,681.4124437
lstcss,D,3,100,1,192,192,192,1,11,233233.58,491.3106997
lstcss,D,3,100,1,192,192,192,1,10,232833.24,438.8360769
lstcss,D,3,100,1,160,160,160,1,6,104163.3,489.0117483
lstcss,D,3,100,1,160,160,160,1,8,111316.18,11389.47162
lstcss,D,3,100,1,160,160,160,1,8,103164.48,123.024752
lstcss,D,3,100,1,160,160,160,1,7,103142.96,136.1828124
lstcss,D,3,100,1,160,160,160,1,8,103071.82,106.7740961
lstcss,D,3,100,1,350,350,350,1,15,1824708.48,2586.149851
lstcss,D,3,100,1,350,350,350,1,17,1765487.52,38183.75984
lstcss,D,3,100,1,350,350,350,1,21,1784139.38,22303.15112
lstcss,D,3,100,1,350,350,350,1,20,1769076.92,14366.04865
lstcss,D,3,100,1,350,350,350,1,19,1689396.92,26208.28778
lstcss,D,3,100,1,96,96,96,1,3,37201.1,559.0623668
lstcss,D,3,100,1,96,96,96,1,4,36983.02,74.44608519
lstcss,D,3,100,1,96,96,96,1,4,36875.16,86.74707142
lstcss,D,3,100,1,96,96,96,1,4,37668.5,1187.811353
lstcss,D,3,100,1,96,96,96,1,4,38877.96,1157.177894
lstcss,D,3,100,1,128,128,128,1,4,90221.3,2304.440976
lstcss,D,3,100,1,128,128,128,1,6,88646.62,942.7996158
lstcss,D,3,100,1,128,128,128,1,6,88806.86,947.3937726
lstcss,D,3,100,1,128,128,128,1,6,88707.52,951.9415999
lstcss,D,3,100,1,128,128,128,1,6,88858.26,920.8373974
lstcss,D,3,100,1,150,150,150,1,5,87045.28,822.3081671
lstcss,D,3,100,1,150,150,150,1,7,86368.28,142.3485918
lstcss,D,3,100,1,150,150,150,1,7,86497.4,182.0676797
lstcss,D,3,100,1,150,150,150,1,7,86530.68,316.348633
lstcss,D,3,100,1,150,150,150,1,6,86470.34,153.0745714
lstcss,D,3,100,1,250,250,250,1,9,367593.82,282.8527313
lstcss,D,3,100,1,250,250,250,1,12,367682.98,1578.243663
lstcss,D,3,100,1,250,250,250,1,11,367624.34,419.4098048
lstcss,D,3,100,1,250,250,250,1,12,367599.98,350.9653254
lstcss,D,3,100,1,250,250,250,1,11,367278.86,330.6270412
lstcss,D,3,100,1,300,300,300,1,12,557610.4,1136.92918
lstcss,D,3,100,1,300,300,300,1,15,557716.56,494.8674635
lstcss,D,3,100,1,300,300,300,1,14,558008.72,1312.409906
lstcss,D,3,100,1,300,300,300,1,15,557824.6,2245.215999
lstcss,D,3,100,1,300,300,300,1,15,555498.62,1771.918676
lstcss,D,3,100,1,600,600,600,1,36,5759760.72,887090.1299
lstcss,D,3,100,1,600,600,600,1,28,6558138.6,921599.163
lstcss,D,3,100,1,600,600,600,1,26,7549432.4,722210.5751
lstcss,D,3,100,1,600,600,600,1,26,7774358.82,24400.82103
lstcss,D,3,100,1,600,600,600,1,26,7766669.5,103387.0337
lstcss,D,3,100,1,800,800,800,1,103,17492031.8,1234811.894
lstcss,D,3,100,1,800,800,800,1,36,19304513.4,2518229.007
lstcss,D,3,100,1,800,800,800,1,31,19550968.12,2218156.749
lstcss,D,3,100,1,800,800,800,1,32,21125203.86,434487.8704
lstcss,D,3,100,1,800,800,800,1,33,18230927,2301315.758
lstcss,D,3,100,1,200,200,200,1,7,187020.82,227.0463997
lstcss,D,3,100,1,200,200,200,1,9,187190.82,172.5313525
lstcss,D,3,100,1,200,200,200,1,10,187075.2,172.9502819
lstcss,D,3,100,1,200,200,200,1,10,187371.56,428.4616744
lstcss,D,3,100,1,200,200,200,1,10,188121.84,189.2381949
lstcss,D,3,100,1,100,100,100,1,3,40890,799.4527128
lstcss,D,3,100,1,100,100,100,1,6,40101.7,373.3790166
lstcss,D,3,100,1,100,100,100,1,4,40073.28,99.38531884
lstcss,D,3,100,1,100,100,100,1,8,40038.62,115.2261932
lstcss,D,3,100,1,100,100,100,1,6,40053.36,107.5252082
lstcss,D,3,100,1,450,450,450,1,17,2600761.68,156540.7586
lstcss,D,3,100,1,450,450,450,1,21,2518536.34,270195.4322
lstcss,D,3,100,1,450,450,450,1,21,2676223.22,15743.60884
lstcss,D,3,100,1,450,450,450,1,21,2379426.14,205858.5357
lstcss,D,3,100,1,450,450,450,1,21,2671685.9,2814.575252
lstcss,D,3,100,1,256,256,256,1,10,1025627.5,2182.132491
lstcss,D,3,100,1,256,256,256,1,14,1030105.88,743.5291155
lstcss,D,3,100,1,256,256,256,1,13,1025591.38,996.9900479
lstcss,D,3,100,1,256,256,256,1,14,1027028.94,800.1882381
lstcss,D,3,100,1,256,256,256,1,14,1027189.26,973.5390657
lstcss,D,3,100,1,400,400,400,1,17,1584796.72,32688.74471
lstcss,D,3,100,1,400,400,400,1,19,1477037.52,80997.81285
lstcss,D,3,100,1,400,400,400,1,37,1560649.52,4047.685908
lstcss,D,3,100,1,400,400,400,1,19,1386942.14,101209.4397
lstcss,D,3,100,1,400,400,400,1,18,1558405.28,2856.125782
lstcss,D,3,100,1,224,224,224,1,8,240640.9,260.9548045
lstcss,D,3,100,1,224,224,224,1,10,241431.82,1102.578155
lstcss,D,3,100,1,224,224,224,1,10,238550.76,1361.6414
lstcss,D,3,100,1,224,224,224,1,11,241496.72,304.3590012
lstcss,D,3,100,1,224,224,224,1,10,239051.52,296.5678499
lstcss,D,3,100,1,550,550,550,1,22,4634919.28,639551.8046
lstcss,D,3,100,1,550,550,550,1,22,4519645.24,676722.9964
lstcss,D,3,100,1,550,550,550,1,25,4647827.46,770772.4054
lstcss,D,3,100,1,550,550,550,1,23,5664089.28,24146.62784
lstcss,D,3,100,1,550,550,550,1,26,5668660.78,14065.95641
