algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcs,S,3,100,1,100,100,100,1,3,22170.9,533.7423817
lstcs,S,3,100,1,100,100,100,1,5,22241.12,130.4721641
lstcs,S,3,100,1,100,100,100,1,4,22321.24,72.77789774
lstcs,S,3,100,1,100,100,100,1,4,22323.26,64.41826139
lstcs,S,3,100,1,100,100,100,1,4,22321.08,62.62007346
lstcs,S,3,100,1,450,450,450,1,15,2551360.72,646563.3242
lstcs,S,3,100,1,450,450,450,1,20,1743798.26,642921.3732
lstcs,S,3,100,1,450,450,450,1,21,3042657.98,495271.6559
lstcs,S,3,100,1,450,450,450,1,23,3018432.74,489360.4931
lstcs,S,3,100,1,450,450,450,1,21,2949840.88,748635.1834
lstcs,S,3,100,1,256,256,256,1,9,764022.3,29639.26309
lstcs,S,3,100,1,256,256,256,1,10,742598.58,52301.28345
lstcs,S,3,100,1,256,256,256,1,11,482777.22,5123.970629
lstcs,S,3,100,1,256,256,256,1,10,451075.74,195654.639
lstcs,S,3,100,1,256,256,256,1,10,526253.24,39990.87143
lstcs,S,3,100,1,400,400,400,1,14,1832479.5,669105.1122
lstcs,S,3,100,1,400,400,400,1,19,1811868.72,650909.0909
lstcs,S,3,100,1,400,400,400,1,20,2131368.62,391882.6558
lstcs,S,3,100,1,400,400,400,1,21,2218991.6,54100.90421
lstcs,S,3,100,1,400,400,400,1,21,991745.38,291179.3969
lstcs,S,3,100,1,224,224,224,1,7,353525.72,5672.769511
lstcs,S,3,100,1,224,224,224,1,9,354245.5,2566.449144
lstcs,S,3,100,1,224,224,224,1,9,360444,4383.004002
lstcs,S,3,100,1,224,224,224,1,8,362347.96,4260.144767
lstcs,S,3,100,1,224,224,224,1,9,359491.04,2740.354152
lstcs,S,3,100,1,550,550,550,1,18,2760383.94,1419171.953
lstcs,S,3,100,1,550,550,550,1,23,3021135.46,1132964.395
lstcs,S,3,100,1,550,550,550,1,24,3965521.32,1031947.996
lstcs,S,3,100,1,550,550,550,1,25,3515453.34,1030647.958
lstcs,S,3,100,1,550,550,550,1,25,4709151.96,772524.9314
lstcs,D,3,100,1,64,64,64,1,6,10469.88,672.2738918
lstcs,D,3,100,1,64,64,64,1,3,9840.88,48.56074135
lstcs,D,3,100,1,64,64,64,1,3,9817.48,35.6837442
lstcs,D,3,100,1,64,64,64,1,5,9808.54,41.79627256
lstcs,D,3,100,1,64,64,64,1,5,9774.34,35.56999297
lstcs,D,3,100,1,500,500,500,1,18,3727448.66,1636673.381
lstcs,D,3,100,1,500,500,500,1,25,4402205.32,1678135.978
lstcs,D,3,100,1,500,500,500,1,27,4506777.32,1501523.375
lstcs,D,3,100,1,500,500,500,1,29,7960533.86,123019.0947
lstcs,D,3,100,1,500,500,500,1,72,7996687.32,93232.90836
lstcs,D,3,100,1,1000,1000,1000,1,40,22351368.34,3878380.331
lstcs,D,3,100,1,1000,1000,1000,1,72,31696955.14,18015129.26
lstcs,D,3,100,1,1000,1000,1000,1,47,38290597.32,13236692.76
lstcs,D,3,100,1,1000,1000,1000,1,44,45699093.44,7950244.568
lstcs,D,3,100,1,1000,1000,1000,1,47,51843851.36,8389127.779
lstcs,D,3,100,1,50,50,50,1,2,8601.14,471.9961445
lstcs,D,3,100,1,50,50,50,1,2,8212.64,40.75181468
lstcs,D,3,100,1,50,50,50,1,2,8261.66,51.15060508
lstcs,D,3,100,1,50,50,50,1,2,8224.88,62.05405386
lstcs,D,3,100,1,50,50,50,1,2,8207.96,34.84247982
lstcs,D,3,100,1,288,288,288,1,12,1684183.38,39894.63187
lstcs,D,3,100,1,288,288,288,1,17,1100612.72,369937.8385
lstcs,D,3,100,1,288,288,288,1,17,1661975.06,32101.20283
lstcs,D,3,100,1,288,288,288,1,18,1143583.04,504292.2667
lstcs,D,3,100,1,288,288,288,1,18,1626317.84,52752.25316
lstcs,D,3,100,1,192,192,192,1,8,413909.92,2288.866356
lstcs,D,3,100,1,192,192,192,1,12,433970,9515.011155
lstcs,D,3,100,1,192,192,192,1,11,413047.88,13358.18792
lstcs,D,3,100,1,192,192,192,1,12,396384.76,7143.190502
lstcs,D,3,100,1,192,192,192,1,13,400934.96,8013.696183
lstcs,D,3,100,1,160,160,160,1,6,100784.16,1042.497777
lstcs,D,3,100,1,160,160,160,1,10,100107.96,224.0957795
lstcs,D,3,100,1,160,160,160,1,11,100056.18,187.5350303
lstcs,D,3,100,1,160,160,160,1,10,100055.32,171.0667051
lstcs,D,3,100,1,160,160,160,1,10,100085.8,206.1668257
lstcs,D,3,100,1,350,350,350,1,14,2133658.28,950709.3011
lstcs,D,3,100,1,350,350,350,1,25,1958579.62,818551.2951
lstcs,D,3,100,1,350,350,350,1,25,2158753.32,1091727.576
lstcs,D,3,100,1,350,350,350,1,23,2438412.82,841688.4587
lstcs,D,3,100,1,350,350,350,1,44,3101856.52,44856.06572
lstcs,D,3,100,1,96,96,96,1,4,29385.24,767.9898583
lstcs,D,3,100,1,96,96,96,1,6,28705.14,64.24235674
lstcs,D,3,100,1,96,96,96,1,6,28819.56,53.24703184
lstcs,D,3,100,1,96,96,96,1,7,29515.46,822.696158
lstcs,D,3,100,1,96,96,96,1,5,29808.5,84.36213606
lstcs,D,3,100,1,128,128,128,1,4,65693.42,1255.672538
lstcs,D,3,100,1,128,128,128,1,8,64740.08,103.1831071
lstcs,D,3,100,1,128,128,128,1,7,64765.34,123.4344539
lstcs,D,3,100,1,128,128,128,1,7,64656.6,127.0873715
lstcs,D,3,100,1,128,128,128,1,7,64611.36,107.4706955
lstcs,D,3,100,1,150,150,150,1,6,134187.78,3426.542685
lstcs,D,3,100,1,150,150,150,1,12,140111.1,251.69706
lstcs,D,3,100,1,150,150,150,1,10,138371.78,2221.122124
lstcs,D,3,100,1,150,150,150,1,9,136152.32,170.1826595
lstcs,D,3,100,1,150,150,150,1,10,136202.42,208.5679832
lstcs,D,3,100,1,250,250,250,1,36,1001206.86,6562.494337
lstcs,D,3,100,1,250,250,250,1,13,999846.24,4919.172559
lstcs,D,3,100,1,250,250,250,1,16,510062.9,242028.0743
lstcs,D,3,100,1,250,250,250,1,15,1003811.96,9706.2589
lstcs,D,3,100,1,250,250,250,1,17,1013036.56,9694.614854
lstcs,D,3,100,1,300,300,300,1,12,1883033.84,51305.28195
lstcs,D,3,100,1,300,300,300,1,20,1027963.42,406019.1658
lstcs,D,3,100,1,300,300,300,1,22,1826214.7,46680.11018
lstcs,D,3,100,1,300,300,300,1,22,894613.28,473471.5943
lstcs,D,3,100,1,300,300,300,1,23,1836704.92,37092.36868
lstcs,D,3,100,1,600,600,600,1,24,5487443.62,2218333.669
lstcs,D,3,100,1,600,600,600,1,33,7525787.92,3678645.85
lstcs,D,3,100,1,600,600,600,1,36,14375884.14,285111.0171
lstcs,D,3,100,1,600,600,600,1,36,6984031.24,2121633.617
lstcs,D,3,100,1,600,600,600,1,36,13442437.12,1289817.939
lstcs,D,3,100,1,800,800,800,1,118,12040658.52,2553786.475
lstcs,D,3,100,1,800,800,800,1,44,18878248.86,7608430.39
lstcs,D,3,100,1,800,800,800,1,41,24621699.12,2051247.837
