algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcsta,S,3,100,1,800,800,800,1,10000,44,10512518.22,3115776.183
lstcsta,S,3,100,1,800,800,800,1,10000,43,11165929.66,4022685.42
lstcsta,S,3,100,1,800,800,800,1,10000,51,14546768.62,5634749.566
lstcsta,S,3,100,1,800,800,800,1,10000,40,18184595.34,1336966.949
lstcsta,S,3,100,1,200,200,200,1,10000,8,117583.82,5638.906886
lstcsta,S,3,100,1,200,200,200,1,10000,11,114416.38,403.3605776
lstcsta,S,3,100,1,200,200,200,1,10000,10,114414.72,208.8609145
lstcsta,S,3,100,1,200,200,200,1,10000,10,114468.96,467.2463145
lstcsta,S,3,100,1,200,200,200,1,10000,9,114353.48,145.0499555
lstcsta,S,3,100,1,100,100,100,1,10000,5,21288.68,775.3602115
lstcsta,S,3,100,1,100,100,100,1,10000,6,21632.12,497.8338936
lstcsta,S,3,100,1,100,100,100,1,10000,7,20772.14,52.46637399
lstcsta,S,3,100,1,100,100,100,1,10000,5,20794.28,62.48681141
lstcsta,S,3,100,1,100,100,100,1,10000,6,20789.12,38.10492882
lstcsta,S,3,100,1,450,450,450,1,10000,16,2294067.46,1321253.019
lstcsta,S,3,100,1,450,450,450,1,10000,27,2974962.66,992727.8405
lstcsta,S,3,100,1,450,450,450,1,10000,28,2465681.16,1060200.78
lstcsta,S,3,100,1,450,450,450,1,10000,20,3564058.64,65567.73964
lstcsta,S,3,100,1,450,450,450,1,10000,20,3100103.28,591029.586
lstcsta,S,3,100,1,256,256,256,1,10000,11,582322.46,19234.47642
lstcsta,S,3,100,1,256,256,256,1,10000,13,693207.68,12677.83418
lstcsta,S,3,100,1,256,256,256,1,10000,14,592388.9,11317.31349
lstcsta,S,3,100,1,256,256,256,1,10000,20,659279,73716.84689
lstcsta,S,3,100,1,256,256,256,1,10000,13,630571.16,16004.7953
lstcsta,S,3,100,1,400,400,400,1,10000,15,1959434.88,647625.4958
lstcsta,S,3,100,1,400,400,400,1,10000,27,1592422.72,859548.2469
lstcsta,S,3,100,1,400,400,400,1,10000,23,1684069.36,810253.9236
lstcsta,S,3,100,1,400,400,400,1,10000,22,1829768.86,724155.924
lstcsta,S,3,100,1,400,400,400,1,10000,21,1760180.82,671259.1188
lstcsta,S,3,100,1,224,224,224,1,10000,9,445894.6,6485.290054
lstcsta,S,3,100,1,224,224,224,1,10000,12,448978.04,652.3231702
lstcsta,S,3,100,1,224,224,224,1,10000,16,446636.88,1633.106508
lstcsta,S,3,100,1,224,224,224,1,10000,16,448777.5,572.1861323
lstcsta,S,3,100,1,224,224,224,1,10000,10,421310.78,76747.34349
lstcsta,S,3,100,1,550,550,550,1,10000,21,3999756.42,1082615.17
lstcsta,S,3,100,1,550,550,550,1,10000,28,2755502.98,1215378.15
lstcsta,S,3,100,1,550,550,550,1,10000,23,4567840.18,1627001.962
lstcsta,S,3,100,1,550,550,550,1,10000,29,6341726.5,227275.9506
lstcsta,S,3,100,1,550,550,550,1,10000,28,4138643.46,2217409.418
lstcsta,S,3,100,1,64,64,64,1,16,3,7084.56,564.7693745
lstcsta,S,3,100,1,64,64,64,1,16,3,6960.02,35.50689511
lstcsta,S,3,100,1,64,64,64,1,16,3,6973.26,38.29402564
lstcsta,S,3,100,1,64,64,64,1,16,3,6964.06,39.20429058
lstcsta,S,3,100,1,64,64,64,1,16,4,6974.16,23.21237601
lstcsta,S,3,100,1,500,500,500,1,16,20,2786779.94,1251915.892
lstcsta,S,3,100,1,500,500,500,1,16,26,2471153.34,925733.0484
lstcsta,S,3,100,1,500,500,500,1,16,25,3236834.02,1127421.663
lstcsta,S,3,100,1,500,500,500,1,16,25,4049250.76,148453.4196
lstcsta,S,3,100,1,500,500,500,1,16,24,3941497.28,472727.4676
lstcsta,S,3,100,1,1000,1000,1000,1,16,36,10713327.88,2833571.252
lstcsta,S,3,100,1,1000,1000,1000,1,16,39,14446819.36,6982250.383
lstcsta,S,3,100,1,1000,1000,1000,1,16,41,17625577.86,7415373.803
lstcsta,S,3,100,1,1000,1000,1000,1,16,42,15084657.04,5796434.739
lstcsta,S,3,100,1,1000,1000,1000,1,16,45,16516756.04,3562794.12
lstcsta,S,3,100,1,50,50,50,1,16,2,5044.58,607.8391593
lstcsta,S,3,100,1,50,50,50,1,16,2,4952.96,21.67667871
lstcsta,S,3,100,1,50,50,50,1,16,3,4970.92,34.02166369
lstcsta,S,3,100,1,50,50,50,1,16,2,4948.5,28.78072272
lstcsta,S,3,100,1,50,50,50,1,16,2,4951.28,38.54402159
lstcsta,S,3,100,1,288,288,288,1,16,12,476268.16,4329.798519
lstcsta,S,3,100,1,288,288,288,1,16,16,475027.84,527.6349632
lstcsta,S,3,100,1,288,288,288,1,16,17,476040.14,1214.671857
lstcsta,S,3,100,1,288,288,288,1,16,15,474470.94,651.2038824
lstcsta,S,3,100,1,288,288,288,1,16,15,387033.24,112058.8283
lstcsta,S,3,100,1,192,192,192,1,16,8,92826.28,4019.39174
lstcsta,S,3,100,1,192,192,192,1,16,10,90314.58,518.3858443
lstcsta,S,3,100,1,192,192,192,1,16,10,90419.26,173.6004389
lstcsta,S,3,100,1,192,192,192,1,16,11,90149.98,163.4563538
lstcsta,S,3,100,1,192,192,192,1,16,10,90280.18,157.015119
lstcsta,S,3,100,1,160,160,160,1,16,7,48090.64,531.8565882
lstcsta,S,3,100,1,160,160,160,1,16,9,45554.28,115.3987938
lstcsta,S,3,100,1,160,160,160,1,16,8,43141.38,1281.32642
lstcsta,S,3,100,1,160,160,160,1,16,7,42446.54,122.9694612
lstcsta,S,3,100,1,160,160,160,1,16,8,42469.66,91.05462317
lstcsta,S,3,100,1,350,350,350,1,16,13,888872.3,4022.026853
lstcsta,S,3,100,1,350,350,350,1,16,21,891235.26,3531.065804
lstcsta,S,3,100,1,350,350,350,1,16,21,638740.14,238092.6676
lstcsta,S,3,100,1,350,350,350,1,16,21,887655.1,2899.655361
lstcsta,S,3,100,1,350,350,350,1,16,25,889629.32,1471.615839
lstcsta,S,3,100,1,96,96,96,1,16,6,12218.02,855.7312777
lstcsta,S,3,100,1,96,96,96,1,16,9,12066.5,67.5088883
lstcsta,S,3,100,1,96,96,96,1,16,6,12152.04,37.18761084
lstcsta,S,3,100,1,96,96,96,1,16,9,12056.04,45.75148522
lstcsta,S,3,100,1,96,96,96,1,16,8,12179.94,173.8249016
lstcsta,S,3,100,1,128,128,128,1,16,5,38674.88,934.0641229
lstcsta,S,3,100,1,128,128,128,1,16,8,38200.22,52.9857679
lstcsta,S,3,100,1,128,128,128,1,16,7,38332.82,66.79302059
lstcsta,S,3,100,1,128,128,128,1,16,7,38226.98,128.3380676
lstcsta,S,3,100,1,128,128,128,1,16,7,38332.42,71.7046972
lstcsta,S,3,100,1,150,150,150,1,16,6,39678.62,754.0995396
lstcsta,S,3,100,1,150,150,150,1,16,10,39987.06,162.7214073
lstcsta,S,3,100,1,150,150,150,1,16,8,40035.56,273.8098727
