algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcstai,S,3,100,1,800,800,800,1,10000,34,12871708.72,1984899.226
lstcstai,S,3,100,1,800,800,800,1,10000,35,11432601.18,1213558.767
lstcstai,S,3,100,1,800,800,800,1,10000,40,11920359.96,989563.2891
lstcstai,S,3,100,1,800,800,800,1,10000,33,10127786.78,969527.3416
lstcstai,S,3,100,1,200,200,200,1,10000,7,148946.14,3777.980074
lstcstai,S,3,100,1,200,200,200,1,10000,13,149085.48,190.6379018
lstcstai,S,3,100,1,200,200,200,1,10000,10,149812.12,1196.917552
lstcstai,S,3,100,1,200,200,200,1,10000,11,149666.88,450.8851135
lstcstai,S,3,100,1,200,200,200,1,10000,11,149840.34,720.6732022
lstcstai,S,3,100,1,100,100,100,1,10000,3,19892.66,1129.444919
lstcstai,S,3,100,1,100,100,100,1,10000,5,19719.82,38.98547935
lstcstai,S,3,100,1,100,100,100,1,10000,5,19738.84,43.97652101
lstcstai,S,3,100,1,100,100,100,1,10000,5,19619.42,108.8808688
lstcstai,S,3,100,1,100,100,100,1,10000,5,19585.78,55.50001441
lstcstai,S,3,100,1,450,450,450,1,10000,16,1948251.1,1411260.101
lstcstai,S,3,100,1,450,450,450,1,10000,22,1712460.3,1265997.094
lstcstai,S,3,100,1,450,450,450,1,10000,24,1424580.06,1228278.093
lstcstai,S,3,100,1,450,450,450,1,10000,21,2738674.16,487125.7433
lstcstai,S,3,100,1,450,450,450,1,10000,23,2857849.42,589577.0695
lstcstai,S,3,100,1,256,256,256,1,10000,10,791443.98,37187.40207
lstcstai,S,3,100,1,256,256,256,1,10000,15,590720.5,48278.73135
lstcstai,S,3,100,1,256,256,256,1,10000,14,708572.18,22165.89664
lstcstai,S,3,100,1,256,256,256,1,10000,13,311539.06,123841.2271
lstcstai,S,3,100,1,256,256,256,1,10000,14,506008.7,996.1087541
lstcstai,S,3,100,1,400,400,400,1,10000,15,1873120.34,875969.2956
lstcstai,S,3,100,1,400,400,400,1,10000,22,1679566.94,868528.3293
lstcstai,S,3,100,1,400,400,400,1,10000,26,2092532.62,336269.083
lstcstai,S,3,100,1,400,400,400,1,10000,20,1197284.48,786534.8778
lstcstai,S,3,100,1,400,400,400,1,10000,21,1494732.86,826673.6189
lstcstai,S,3,100,1,224,224,224,1,10000,9,439312.52,914.4985126
lstcstai,S,3,100,1,224,224,224,1,10000,10,440175.96,529.3616518
lstcstai,S,3,100,1,224,224,224,1,10000,12,438850.98,535.3790616
lstcstai,S,3,100,1,224,224,224,1,10000,14,450355.78,3630.084199
lstcstai,S,3,100,1,224,224,224,1,10000,12,436297.64,33003.00977
lstcstai,S,3,100,1,550,550,550,1,10000,21,3225142.02,1678640.475
lstcstai,S,3,100,1,550,550,550,1,10000,26,2920137.14,1350037.409
lstcstai,S,3,100,1,550,550,550,1,10000,24,3706125.66,459930.4984
lstcstai,S,3,100,1,550,550,550,1,10000,62,4956867.54,905894.4684
lstcstai,S,3,100,1,550,550,550,1,10000,64,5714083.26,754633.1892
lstcstai,S,3,100,1,64,64,64,1,16,2,6145.7,914.2585685
lstcstai,S,3,100,1,64,64,64,1,16,3,6016.74,26.75280172
lstcstai,S,3,100,1,64,64,64,1,16,4,6006.38,37.99941578
lstcstai,S,3,100,1,64,64,64,1,16,4,6020.38,28.88867598
lstcstai,S,3,100,1,64,64,64,1,16,3,6024.34,26.25460721
lstcstai,S,3,100,1,500,500,500,1,16,22,2704580.74,1193471.937
lstcstai,S,3,100,1,500,500,500,1,16,23,1998836.08,1280899.557
lstcstai,S,3,100,1,500,500,500,1,16,23,1878370.98,1251675.677
lstcstai,S,3,100,1,500,500,500,1,16,23,2046553.44,1052700.674
lstcstai,S,3,100,1,500,500,500,1,16,23,2037717.9,1233452.91
lstcstai,S,3,100,1,1000,1000,1000,1,16,60,8530488.22,3224478.831
lstcstai,S,3,100,1,1000,1000,1000,1,16,47,9612979.8,2348083.458
lstcstai,S,3,100,1,1000,1000,1000,1,16,70,12317455.32,4657778.707
lstcstai,S,3,100,1,1000,1000,1000,1,16,48,16444259.86,2865271.732
lstcstai,S,3,100,1,1000,1000,1000,1,16,61,21141622.32,2996549.611
lstcstai,S,3,100,1,50,50,50,1,16,2,4328.14,622.3521836
lstcstai,S,3,100,1,50,50,50,1,16,2,4203.82,30.32338372
lstcstai,S,3,100,1,50,50,50,1,16,3,4205.58,37.76511088
lstcstai,S,3,100,1,50,50,50,1,16,3,4219.62,28.27853603
lstcstai,S,3,100,1,50,50,50,1,16,2,4208.56,54.88247808
lstcstai,S,3,100,1,288,288,288,1,16,11,466630.36,1638.888608
lstcstai,S,3,100,1,288,288,288,1,16,35,463699.56,519.6660528
lstcstai,S,3,100,1,288,288,288,1,16,16,465197.14,443.0113321
lstcstai,S,3,100,1,288,288,288,1,16,16,463916.2,6132.050544
lstcstai,S,3,100,1,288,288,288,1,16,16,410423.48,86547.61974
lstcstai,S,3,100,1,192,192,192,1,16,7,74088.32,1248.899378
lstcstai,S,3,100,1,192,192,192,1,16,10,74437.26,182.940516
lstcstai,S,3,100,1,192,192,192,1,16,10,74424.96,142.0599817
lstcstai,S,3,100,1,192,192,192,1,16,10,74486.74,166.0539442
