algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,init_time,time,std_dev
lstmfppai,S,3,100,1,200,200,200,1,100,54584.42,1868.861152
lstmfppai,S,3,100,1,200,200,200,1,265,54467.04,251.7206356
lstmfppai,S,3,100,1,200,200,200,1,232,54599.58,317.6919319
lstmfppai,S,3,100,1,200,200,200,1,186,55130.66,309.2486126
lstmfppai,S,3,100,1,200,200,200,1,224,55037.18,144.5292621
lstmfppai,S,3,100,1,100,100,100,1,97,11539.66,803.3270221
lstmfppai,S,3,100,1,100,100,100,1,233,11341.04,45.48844249
lstmfppai,S,3,100,1,100,100,100,1,134,11334.7,57.53233873
lstmfppai,S,3,100,1,100,100,100,1,139,11408.9,65.21939895
lstmfppai,S,3,100,1,100,100,100,1,117,11391.62,81.08363337
lstmfppai,S,3,100,1,450,450,450,1,112,1745172.18,539341.5659
lstmfppai,S,3,100,1,450,450,450,1,198,1600010.26,534258.4613
lstmfppai,S,3,100,1,450,450,450,1,174,1766412.4,384199.667
lstmfppai,S,3,100,1,450,450,450,1,769,2057951.4,58870.45526
lstmfppai,S,3,100,1,450,450,450,1,128,1466762.74,567882.0043
lstmfppai,S,3,100,1,256,256,256,1,114,438743.42,429.9577696
lstmfppai,S,3,100,1,256,256,256,1,112,439593.4,322.7074836
lstmfppai,S,3,100,1,256,256,256,1,108,439724.88,436.3023557
lstmfppai,S,3,100,1,256,256,256,1,111,440542.64,413.3209291
lstmfppai,S,3,100,1,256,256,256,1,132,441372.82,4820.98355
lstmfppai,S,3,100,1,400,400,400,1,104,1416156.32,40502.62136
lstmfppai,S,3,100,1,400,400,400,1,148,526016.5,182039.4448
lstmfppai,S,3,100,1,400,400,400,1,144,1335919.22,36703.00899
lstmfppai,S,3,100,1,400,400,400,1,122,590143.92,54238.34302
lstmfppai,S,3,100,1,400,400,400,1,136,1373916.8,47382.15816
lstmfppai,S,3,100,1,224,224,224,1,113,167173.44,2421.28604
lstmfppai,S,3,100,1,224,224,224,1,99,168003.18,376.0308865
lstmfppai,S,3,100,1,224,224,224,1,108,168848.72,337.9196378
lstmfppai,S,3,100,1,224,224,224,1,104,167960.82,504.2900233
lstmfppai,S,3,100,1,224,224,224,1,108,168741.18,416.8648553
lstmfppai,S,3,100,1,550,550,550,1,108,2792257.22,668971.6418
lstmfppai,S,3,100,1,550,550,550,1,174,2424772.78,781650.5542
lstmfppai,S,3,100,1,550,550,550,1,138,3452970.06,344883.3919
lstmfppai,S,3,100,1,550,550,550,1,139,3570130.56,65155.40837
lstmfppai,S,3,100,1,550,550,550,1,149,2498092.36,1129835.51
lstmfppai,D,3,100,1,64,64,64,1,94,7267.34,869.9265856
lstmfppai,D,3,100,1,64,64,64,1,268,7154.92,28.784607
lstmfppai,D,3,100,1,64,64,64,1,183,7162.28,37.67441572
lstmfppai,D,3,100,1,64,64,64,1,145,7155.8,31.2429192
lstmfppai,D,3,100,1,64,64,64,1,143,7170.14,61.99290605
lstmfppai,D,3,100,1,500,500,500,1,114,3709548.18,1049487.192
lstmfppai,D,3,100,1,500,500,500,1,138,5069047.28,677369.5655
lstmfppai,D,3,100,1,500,500,500,1,156,4141501.3,613160.3957
lstmfppai,D,3,100,1,500,500,500,1,143,5940780.56,157492.8885
lstmfppai,D,3,100,1,500,500,500,1,170,4931096.96,1054355.497
lstmfppai,D,3,100,1,1000,1000,1000,1,135,14270127.82,2563605.586
lstmfppai,D,3,100,1,1000,1000,1000,1,779,16941958.52,7881627.216
lstmfppai,D,3,100,1,1000,1000,1000,1,790,18278061.08,9588083.787
lstmfppai,D,3,100,1,1000,1000,1000,1,803,18324482.14,8395379.554
lstmfppai,D,3,100,1,1000,1000,1000,1,643,24202800.32,4811933.832
lstmfppai,D,3,100,1,50,50,50,1,106,4386.16,1353.589042
lstmfppai,D,3,100,1,50,50,50,1,196,4168.8,38.22564584
lstmfppai,D,3,100,1,50,50,50,1,161,4151.16,22.5657794
lstmfppai,D,3,100,1,50,50,50,1,159,4173.36,40.47851776
lstmfppai,D,3,100,1,50,50,50,1,174,4188.64,40.96767506
lstmfppai,D,3,100,1,288,288,288,1,98,944051.24,4887.745143
