algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcss,S,3,100,1,100,100,100,1,3,54267.24,697.1467151
lstcss,S,3,100,1,100,100,100,1,5,52753.2,663.1425789
lstcss,S,3,100,1,100,100,100,1,4,52495.02,1152.464082
lstcss,S,3,100,1,100,100,100,1,4,51866.96,255.4570774
lstcss,S,3,100,1,100,100,100,1,4,51953.22,324.3120898
lstcss,S,3,100,1,450,450,450,1,15,3420049.92,248257.5745
lstcss,S,3,100,1,450,450,450,1,20,3100908.82,334685.6091
lstcss,S,3,100,1,450,450,450,1,21,3275593.08,738954.0113
lstcss,S,3,100,1,450,450,450,1,21,2996485.56,612623.0031
lstcss,S,3,100,1,450,450,450,1,21,3593599.14,231512.8167
lstcss,S,3,100,1,256,256,256,1,9,3659766.06,788457.207
lstcss,S,3,100,1,256,256,256,1,10,3996966.24,347859.2584
lstcss,S,3,100,1,256,256,256,1,12,3815329.72,203156.7972
lstcss,S,3,100,1,256,256,256,1,12,3374937.98,285251.2766
lstcss,S,3,100,1,256,256,256,1,13,3154970.26,451588.4843
lstcss,S,3,100,1,400,400,400,1,13,2382026.74,737643.8195
lstcss,S,3,100,1,400,400,400,1,21,2071300.64,607324.1496
lstcss,S,3,100,1,400,400,400,1,21,1728294.64,573669.2976
lstcss,S,3,100,1,400,400,400,1,21,2240479.36,796040.0193
lstcss,S,3,100,1,400,400,400,1,21,2103330.76,706613.0219
lstcss,S,3,100,1,224,224,224,1,7,743598.22,8609.498815
lstcss,S,3,100,1,224,224,224,1,9,750160.28,6040.391223
lstcss,S,3,100,1,224,224,224,1,10,721848.78,107343.6591
lstcss,S,3,100,1,224,224,224,1,8,677419.84,7291.310333
lstcss,S,3,100,1,224,224,224,1,8,576948.56,5221.312253
lstcss,S,3,100,1,550,550,550,1,18,5199577.38,1044103.161
lstcss,S,3,100,1,550,550,550,1,28,5495071.14,1064700.234
lstcss,S,3,100,1,550,550,550,1,25,6495504.26,947047.4152
lstcss,S,3,100,1,550,550,550,1,25,6551743.7,871456.7199
lstcss,S,3,100,1,550,550,550,1,66,6484757.14,912580.5772
lstcss,D,3,100,1,64,64,64,1,3,22112.82,775.8626603
lstcss,D,3,100,1,64,64,64,1,5,21415.6,52.72191195
lstcss,D,3,100,1,64,64,64,1,4,21376.8,49.23250958
lstcss,D,3,100,1,64,64,64,1,3,21262.08,53.53721696
